road_id,from_location_id,to_location_id,distance_km,travel_time_min,condition_weight
R001,L001,L002,1.65,10,1.0
R002,L002,L003,2.65,12,1.2
R003,L003,L004,0.85,7,1.15
R004,L004,L005,1.85,9,1.1
R005,L005,L006,2.85,15,1.05
R006,L006,L007,1.05,5,1.0
R007,L007,L008,2.05,12,1.2
R008,L008,L009,3.05,14,1.15
R009,L009,L010,1.25,8,1.1
R010,L010,L011,2.25,10,1.05
R011,L011,L012,0.45,5,1.0
R012,L012,L013,1.45,7,1.2
R013,L013,L014,2.45,13,1.15
R014,L014,L015,0.65,4,1.1
R015,L015,L016,1.65,10,1.05
R016,L016,L017,2.65,12,1.0
R017,L017,L018,0.85,7,1.2
R018,L018,L019,1.85,9,1.15
R019,L019,L020,2.85,15,1.1
R020,L020,L021,1.05,5,1.05
R021,L021,L022,2.05,12,1.0
R022,L022,L023,3.05,14,1.2
R023,L023,L024,1.25,8,1.15
R024,L024,L025,2.25,10,1.1
R025,L025,L026,0.45,5,1.05
R026,L026,L027,1.45,7,1.0
R027,L027,L028,2.45,13,1.2
R028,L028,L029,0.65,4,1.15
R029,L029,L030,1.65,10,1.1
R030,L030,L031,2.65,12,1.05
R031,L031,L032,0.85,7,1.0
R032,L032,L033,1.85,9,1.2
R033,L033,L034,2.85,15,1.15
R034,L034,L035,1.05,5,1.1
R035,L035,L036,2.05,12,1.05
R036,L036,L037,3.05,14,1.0
R037,L037,L038,1.25,8,1.2
R038,L038,L039,2.25,10,1.15
R039,L039,L040,0.45,5,1.1
R040,L040,L041,1.45,7,1.05
R041,L041,L042,2.45,13,1.0
R042,L042,L043,0.65,4,1.2
R043,L043,L044,1.65,10,1.15
R044,L044,L045,2.65,12,1.1
R045,L045,L046,0.85,7,1.05
R046,L046,L047,1.85,9,1.0
R047,L047,L048,2.85,15,1.2
R048,L048,L049,1.05,5,1.15
R049,L049,L050,2.05,12,1.1
R050,L050,L051,3.05,14,1.05
R051,L051,L052,1.25,8,1.0
R052,L052,L053,2.25,10,1.2
R053,L053,L054,0.45,5,1.15
R054,L054,L055,1.45,7,1.1
R055,L055,L056,2.45,13,1.05
R056,L056,L057,0.65,4,1.0
R057,L057,L058,1.65,10,1.2
R058,L058,L059,2.65,12,1.15
R059,L059,L060,0.85,7,1.1
R060,L060,L061,1.85,9,1.05
R061,L061,L062,2.85,15,1.0
R062,L062,L063,1.05,5,1.2
R063,L063,L064,2.05,12,1.15
R064,L064,L065,3.05,14,1.1
R065,L001,L005,2.55,13,1.15
R066,L001,L007,0.35,2,1.0
R067,L001,L011,1.55,7,1.2
R068,L002,L005,0.45,5,1.05
R069,L002,L010,1.95,8,1.05
R070,L002,L015,0.65,4,1.05
R071,L003,L005,1.15,5,1.2
R072,L003,L008,2.05,12,1.1
R073,L003,L014,1.05,5,1.15
R074,L004,L006,2.15,11,1.15
R075,L004,L012,1.15,5,1.2
R076,L004,L018,2.95,14,1.0
R077,L005,L009,0.95,6,1.2
R078,L005,L013,2.15,11,1.15
R079,L005,L020,1.45,7,1.0
R080,L006,L010,1.95,8,1.15
R081,L006,L016,0.95,6,1.2
R082,L006,L022,2.75,12,1.0
R083,L007,L011,2.95,14,1.1
R084,L007,L017,1.95,8,1.15
R085,L007,L024,1.25,8,1.0
R086,L008,L012,1.15,5,1.05
R087,L008,L019,0.45,5,1.15
R088,L008,L027,2.85,15,1.05
R089,L009,L014,2.45,13,1.05
R090,L009,L021,1.75,9,1.15
R091,L009,L030,1.65,10,1.1
R092,L010,L015,0.65,4,1.0
R093,L010,L025,0.85,7,1.0
R094,L010,L033,0.45,5,1.15
R095,L011,L018,2.25,10,1.05
R096,L011,L023,0.95,6,1.05
R097,L011,L035,1.75,9,1.15
R098,L012,L020,0.75,3,1.05
R099,L012,L028,0.35,2,1.2
R100,L012,L038,0.55,4,1.2
R101,L013,L017,0.55,4,1.05
R102,L013,L026,0.45,5,1.0
R103,L013,L040,1.85,9,1.2
R104,L014,L022,2.75,12,1.2
R105,L014,L031,2.65,12,1.15
R106,L014,L042,0.35,2,1.2
R107,L015,L019,2.55,13,1.2
R108,L015,L029,2.75,12,1.2
R109,L015,L045,1.95,8,1.0
R110,L016,L024,1.95,8,1.1
