resource_id,resource_type,home_location_id,capacity,availability_status
V001,Van,L001,10,AVAILABLE
V002,Van,L002,10,AVAILABLE
V003,Van,L003,10,AVAILABLE
V004,Van,L004,10,AVAILABLE
V005,Van,L005,10,AVAILABLE
M001,Motorbike,L006,2,AVAILABLE
M002,Motorbike,L007,2,MAINTENANCE
M003,Motorbike,L008,2,AVAILABLE
M004,Motorbike,L009,2,AVAILABLE
M005,Motorbike,L010,2,AVAILABLE
A001,Ambulance,L011,2,AVAILABLE
A002,Ambulance,L012,2,AVAILABLE
A003,Ambulance,L013,2,AVAILABLE
P001,Pickup,L014,2,MAINTENANCE
P002,Pickup,L015,2,AVAILABLE
P003,Pickup,L016,2,AVAILABLE
P004,Pickup,L017,2,AVAILABLE
B001,Bike,L018,2,AVAILABLE
B002,Bike,L019,2,AVAILABLE
B003,Bike,L020,2,AVAILABLE
B004,Bike,L021,2,MAINTENANCE
U001,Utility Van,L022,10,AVAILABLE
U002,Utility Van,L023,10,AVAILABLE
U003,Utility Van,L024,10,AVAILABLE
U004,Utility Van,L025,10,AVAILABLE
DV001,Delivery Van,L026,8,AVAILABLE
DV002,Delivery Van,L027,8,AVAILABLE
DV003,Delivery Van,L028,8,MAINTENANCE
DV004,Delivery Van,L029,8,AVAILABLE
SV001,Service Van,L030,8,AVAILABLE
SV002,Service Van,L031,8,AVAILABLE
SV003,Service Van,L032,8,AVAILABLE
ST001,Security Truck,L033,8,AVAILABLE
ST002,Security Truck,L034,8,AVAILABLE
ST003,Security Truck,L035,8,MAINTENANCE
MT001,Maintenance Truck,L036,8,AVAILABLE
MT002,Maintenance Truck,L037,8,AVAILABLE
MT003,Maintenance Truck,L038,8,AVAILABLE
EV001,Electric Vehicle,L039,4,AVAILABLE
EV002,Electric Vehicle,L040,4,AVAILABLE
CV001,Campus Van,L041,12,AVAILABLE
CV002,Campus Van,L046,12,AVAILABLE
CV003,Campus Van,L047,12,AVAILABLE
CV004,Campus Van,L048,12,AVAILABLE
CV005,Campus Van,L049,12,AVAILABLE
