road_id,from_location_id,to_location_id,distance_km,travel_time_min,condition_weight
R001,L001,L002,1.1,22,1
R002,L002,L003,2.2,26,1
R003,L003,L004,0.4,6,1
R004,L004,L005,1.8,24,1
R005,L005,L006,1.8,24,1
R006,L006,L007,0.55,8,1
R007,L007,L008,0.5,7,1
R008,L008,L009,0.13,2,1
R009,L009,L010,0.5,6,1
R010,L010,L011,0.25,1,1
R011,L011,L012,0.3,4,1
R012,L012,L013,0.5,7,1
R013,L013,L014,0.17,2,1
R014,L014,L015,0.95,13,1
R015,L015,L016,0.23,1,1
R016,L016,L017,0.3,5,1
R017,L017,L018,0.35,4,1
R018,L018,L019,0.4,5,1
R019,L019,L020,0.23,4,1
R020,L020,L021,0.36,1,1
R021,L021,L022,0.15,2,1
R022,L022,L023,0.35,5,1
R023,L023,L024,0.22,3,1
R024,L024,L025,0.45,6,1
R025,L025,L026,0.7,9,1
R026,L026,L027,0.55,8,1
R027,L027,L028,0.1,1,1
R028,L028,L029,0.26,4,1
R029,L029,L030,0.4,6,1
R030,L030,L031,0.17,2,1
R031,L031,L032,0.5,8,1
R032,L032,L033,0.55,7,1
R033,L033,L034,0.6,8,1
R034,L034,L035,0.5,7,1
R035,L035,L036,0.45,6,1
R036,L036,L037,0.16,2,1
R037,L037,L038,0.7,9,1
R038,L038,L039,0.65,9,1
R039,L039,L040,0.4,6,1
R040,L040,L041,2,27,1
R041,L041,L042,0.88,1,1
R042,L042,L043,0.25,3,1
R043,L043,L044,0.25,4,1
R044,L044,L045,1.7,24,1
R045,L045,L046,1.6,21,1
R046,L046,L047,1.5,21,1
R047,L047,L048,0.8,10,1
R048,L048,L049,1.3,19,1
R049,L049,L050,0.6,9,1
R050,L050,L051,1.6,21,1
R051,L051,L052,0.65,9,1
R052,L052,L053,1.5,20,1
R053,L053,L054,1.5,22,1
R054,L054,L055,2.5,34,1
R055,L055,L056,1.8,25,1
R056,L056,L057,0.65,9,1
R057,L057,L058,1.4,20,1
R058,L058,L059,0.24,3,1
R059,L059,L060,1,12,1
R060,L060,L061,2.2,30,1
R061,L061,L062,2.2,31,1
R062,L062,L063,2.8,38,1
R063,L063,L064,2,26,1
R064,L064,L065,0.4,6,1
R065,L001,L005,2.3,31,1
R066,L001,L007,0.85,12,1
R067,L001,L011,0.6,8,1
R068,L002,L005,3.5,46,1
R069,L002,L010,1.6,21,1
R070,L002,L015,2.1,28,1
R071,L003,L005,1.7,24,1
R072,L003,L008,0.45,6,1
R073,L003,L014,0.85,12,1
R074,L004,L006,0.65,9,1
R075,L004,L012,0.6,8,1
R076,L004,L018,0.7,9,1
R077,L005,L009,2,29,1
R078,L005,L013,2.3,32,1
R079,L005,L020,1.6,23,1
R080,L006,L010,0.8,11,1
R081,L006,L016,0.45,6,1
R082,L006,L022,0.24,3,1
R083,L007,L011,0.7,9,1
R084,L007,L017,0.24,3,1
R085,L007,L024,0.5,7,1
R086,L008,L012,0.5,6,1
R087,L008,L019,0.55,7,1
R088,L008,L027,0.6,8,1
R089,L009,L014,0.6,8,1
R090,L009,L021,0.55,7,1
R091,L009,L030,0.7,10,1
R092,L010,L015,0.85,12,1
R093,L010,L025,0.55,7,1
R094,L010,L033,0.55,8,1
R095,L011,L018,0.9,12,1
R096,L011,L023,0.7,10,1
R097,L011,L035,1.1,15,1
R098,L012,L020,1,14,1
R099,L012,L028,0.3,5,1
R100,L012,L038,1.3,17,1
R101,L013,L017,0.6,9,1
R102,L013,L026,0.45,6,1
R103,L013,L040,1.6,19,1
R104,L014,L022,1.2,15,1
R105,L014,L031,0.55,7,1
R106,L014,L042,1.4,17,1
R107,L015,L019,0.4,5,1
R108,L015,L029,1.1,15,1
R109,L015,L045,1.2,17,1
R110,L016,L024,0.5,9,1
R111,L032,L030,0.4,5,1
R112,L034,L025,0.13,2,1
R113,L036,L039,0.13,2,1
R114,L037,L039,0.12,2,1
R115,L041,L044,0.18,2,1
R116,L043,L041,0.25,4,1
R117,L046,L062,0.6,8,1
R118,L047,L038,0.95,13,1
R119,L048,L037,0.4,5,1
R120,L049,L057,0.13,2,1
R121,L050,L009,0.13,3,1
R122,L051,L048,0.55,8,1
R123,L052,L045,0.1,1,1
R124,L053,L065,0.079,1,1
R125,L054,L051,0.45,6,1
R126,L055,L046,0.65,9,1
R127,L056,L004,0.16,2,1
R128,L059,L002,0.26,4,1
R129,L060,L057,0.13,2,1
R130,L064,L053,0.4,5,1
R131,L065,L057,2,29,1
R132,L061,L001,2.3,30,1
