request_id,source_location_id,destination_location_id,category,urgency,time_submitted,deadline,status
Q001,L007,L018,MEDICAL EMERGENCY,21,2026-08-10 07:12,2026-08-10 08:05,PENDING
Q002,L014,L031,MAINTENANCE SERVICE,38,2026-08-10 07:24,2026-08-10 08:40,ASSIGNED
Q003,L021,L044,SHUTTLE SERVICE,55,2026-08-10 07:36,2026-08-10 09:15,IN_PROGRESS
Q004,L028,L057,MEDICAL EMERGENCY,72,2026-08-10 07:48,2026-08-10 09:50,COMPLETED
Q005,L035,L005,MAINTENANCE SERVICE,89,2026-08-10 08:00,2026-08-10 10:25,PENDING
Q006,L042,L018,SHUTTLE SERVICE,16,2026-08-10 08:12,2026-08-10 11:00,ASSIGNED
Q007,L049,L031,MEDICAL EMERGENCY,33,2026-08-10 08:24,2026-08-10 11:35,IN_PROGRESS
Q008,L056,L044,MAINTENANCE SERVICE,50,2026-08-10 08:36,2026-08-10 12:10,COMPLETED
Q009,L063,L057,SHUTTLE SERVICE,67,2026-08-10 08:48,2026-08-10 12:45,PENDING
Q010,L005,L006,MEDICAL EMERGENCY,84,2026-08-10 09:00,2026-08-10 09:49,ASSIGNED
Q011,L012,L018,MAINTENANCE SERVICE,11,2026-08-10 09:12,2026-08-10 10:24,IN_PROGRESS
Q012,L019,L031,SHUTTLE SERVICE,28,2026-08-10 09:24,2026-08-10 10:59,COMPLETED
Q013,L026,L044,MEDICAL EMERGENCY,45,2026-08-10 09:36,2026-08-10 11:34,PENDING
Q014,L033,L057,MAINTENANCE SERVICE,62,2026-08-10 09:48,2026-08-10 12:09,ASSIGNED
Q015,L040,L005,SHUTTLE SERVICE,79,2026-08-10 10:00,2026-08-10 12:44,IN_PROGRESS
Q016,L047,L018,MEDICAL EMERGENCY,6,2026-08-10 10:12,2026-08-10 13:19,COMPLETED
Q017,L054,L031,MAINTENANCE SERVICE,23,2026-08-10 10:24,2026-08-10 13:54,PENDING
Q018,L061,L044,SHUTTLE SERVICE,40,2026-08-10 10:36,2026-08-10 14:29,ASSIGNED
Q019,L003,L057,MEDICAL EMERGENCY,57,2026-08-10 10:48,2026-08-10 11:33,IN_PROGRESS
Q020,L010,L005,MAINTENANCE SERVICE,74,2026-08-10 11:00,2026-08-10 12:08,COMPLETED
Q021,L017,L018,SHUTTLE SERVICE,91,2026-08-10 11:12,2026-08-10 12:43,PENDING
Q022,L024,L031,MEDICAL EMERGENCY,18,2026-08-10 11:24,2026-08-10 13:18,ASSIGNED
Q023,L031,L044,MAINTENANCE SERVICE,35,2026-08-10 11:36,2026-08-10 13:53,IN_PROGRESS
Q024,L038,L057,SHUTTLE SERVICE,52,2026-08-10 11:48,2026-08-10 14:28,COMPLETED
Q025,L045,L005,MEDICAL EMERGENCY,69,2026-08-10 12:00,2026-08-10 15:03,PENDING
Q026,L052,L018,MAINTENANCE SERVICE,86,2026-08-10 12:12,2026-08-10 15:38,ASSIGNED
Q027,L059,L031,SHUTTLE SERVICE,13,2026-08-10 12:24,2026-08-10 16:13,IN_PROGRESS
Q028,L001,L044,MEDICAL EMERGENCY,30,2026-08-10 12:36,2026-08-10 13:17,COMPLETED
Q029,L008,L057,MAINTENANCE SERVICE,47,2026-08-10 12:48,2026-08-10 13:52,PENDING
Q030,L015,L005,SHUTTLE SERVICE,64,2026-08-10 13:00,2026-08-10 14:27,ASSIGNED
Q031,L022,L018,MEDICAL EMERGENCY,81,2026-08-10 13:12,2026-08-10 15:02,IN_PROGRESS
Q032,L029,L031,MAINTENANCE SERVICE,8,2026-08-10 13:24,2026-08-10 15:37,COMPLETED
Q033,L036,L044,SHUTTLE SERVICE,25,2026-08-10 13:36,2026-08-10 16:12,PENDING
Q034,L043,L057,MEDICAL EMERGENCY,42,2026-08-10 13:48,2026-08-10 16:47,ASSIGNED
Q035,L050,L005,MAINTENANCE SERVICE,59,2026-08-10 14:00,2026-08-10 17:22,IN_PROGRESS
Q036,L057,L018,SHUTTLE SERVICE,76,2026-08-10 14:12,2026-08-10 17:57,COMPLETED
Q037,L064,L031,MEDICAL EMERGENCY,93,2026-08-10 14:24,2026-08-10 15:01,PENDING
Q038,L006,L044,MAINTENANCE SERVICE,20,2026-08-10 14:36,2026-08-10 15:36,ASSIGNED
