algorithm_name,input_size,trial,time_ms,memory_bytes,timestamp
binarySearch,100,1,2.2333,524288,1787657833661
linearSearch,100,1,0.2829,25536,1787657833670
insertionSort,100,1,0.0388,0,1787657833673
selectionSort,100,1,0.0747,0,1787657833675
mergeSort,100,1,0.0829,25536,1787657833679
quickSort,100,1,0.0263,0,1787657833681
binarySearch,100,2,0.0314,25552,1787657833683
linearSearch,100,2,0.0248,25552,1787657833686
insertionSort,100,2,0.0377,0,1787657833688
selectionSort,100,2,0.0686,0,1787657833690
mergeSort,100,2,0.0734,25536,1787657833692
quickSort,100,2,0.0301,0,1787657833695
binarySearch,100,3,0.0293,25552,1787657833697
linearSearch,100,3,0.0373,25552,1787657833699
insertionSort,100,3,0.0381,0,1787657833701
selectionSort,100,3,0.0694,0,1787657833704
mergeSort,100,3,0.0645,25536,1787657833706
quickSort,100,3,0.0355,0,1787657833708
binarySearch,100,4,0.0932,25552,1787657833711
linearSearch,100,4,0.0615,25552,1787657833714
insertionSort,100,4,0.0390,0,1787657833716
selectionSort,100,4,0.0687,0,1787657833718
mergeSort,100,4,0.0639,25536,1787657833721
quickSort,100,4,0.0378,0,1787657833723
binarySearch,100,5,0.1164,25552,1787657833726
linearSearch,100,5,0.0506,25552,1787657833729
insertionSort,100,5,0.0551,0,1787657833731
selectionSort,100,5,0.0723,0,1787657833734
mergeSort,100,5,0.0705,25536,1787657833736
quickSort,100,5,0.0200,0,1787657833739
binarySearch,500,1,0.2782,25552,1787657833743
linearSearch,500,1,0.0584,25552,1787657833746
insertionSort,500,1,1.0741,0,1787657833749
selectionSort,500,1,0.7888,0,1787657833752
mergeSort,500,1,0.2945,51192,1787657833755
quickSort,500,1,0.1258,0,1787657833758
binarySearch,500,2,0.0692,25552,1787657833761
linearSearch,500,2,0.0433,25552,1787657833763
insertionSort,500,2,0.1767,0,1787657833766
selectionSort,500,2,0.1812,0,1787657833769
mergeSort,500,2,0.0621,51192,1787657833772
quickSort,500,2,0.0531,0,1787657833774
binarySearch,500,3,0.1551,25552,1787657833778
linearSearch,500,3,0.0552,25552,1787657833781
insertionSort,500,3,0.0889,0,1787657833783
selectionSort,500,3,0.0755,0,1787657833787
