algorithm_name,input_size,trial,time_ms,memory_bytes,timestamp
dfs,50,1,0.1210,524288,1787700888252
dijkstra,50,1,0.9475,50480,1787700888256
prim,50,1,0.9782,50336,1787700888261
kruskal,50,1,0.7260,51000,1787700888266
dfs,50,2,0.0470,25192,1787700888269
dijkstra,50,2,0.1275,25336,1787700888271
prim,50,2,0.3262,25192,1787700888273
kruskal,50,2,0.7349,51000,1787700888277
dfs,50,3,0.0474,25192,1787700888279
dijkstra,50,3,0.1045,25336,1787700888282
prim,50,3,0.1507,25192,1787700888284
kruskal,50,3,0.3538,51000,1787700888287
dfs,50,4,0.0447,25192,1787700888289
dijkstra,50,4,0.1416,25336,1787700888292
prim,50,4,0.2548,25192,1787700888295
kruskal,50,4,0.3198,51000,1787700888297
dfs,50,5,0.0466,25192,1787700888300
dijkstra,50,5,0.0879,25336,1787700888302
prim,50,5,0.2095,25192,1787700888304
kruskal,50,5,0.3059,51000,1787700888307
dfs,100,1,0.1555,25240,1787700888312
dijkstra,100,1,0.2122,50680,1787700888314
prim,100,1,0.3049,75528,1787700888317
kruskal,100,1,0.9608,127736,1787700888320
dfs,100,2,0.0660,25240,1787700888323
dijkstra,100,2,0.1514,50680,1787700888326
prim,100,2,1.3103,75528,1787700888331
kruskal,100,2,0.4804,127736,1787700888336
dfs,100,3,0.0582,25240,1787700888339
dijkstra,100,3,0.1497,50680,1787700888343
prim,100,3,0.2413,75528,1787700888346
kruskal,100,3,0.4452,127736,1787700888349
dfs,100,4,0.0512,25240,1787700888352
dijkstra,100,4,0.1291,50680,1787700888354
prim,100,4,0.2533,75528,1787700888357
kruskal,100,4,0.4412,127736,1787700888360
dfs,100,5,0.0695,25240,1787700888363
dijkstra,100,5,0.1158,50680,1787700888365
prim,100,5,0.1761,75528,1787700888368
kruskal,100,5,0.3855,127736,1787700888370
dfs,500,1,0.3905,132568,1787700888376
dijkstra,500,1,0.6659,178208,1787700888380
prim,500,1,1.1554,275304,1787700888383
kruskal,500,1,3.1638,650504,1787700888389
dfs,500,2,0.4053,154256,1787700888395
dijkstra,500,2,0.6445,165576,1787700888398
prim,500,2,1.1774,293752,1787700888401
kruskal,500,2,2.1901,708576,1787700888406
dfs,500,3,0.3441,129112,1787700888413
dijkstra,500,3,0.6280,175456,1787700888416
prim,500,3,0.9520,295888,1787700888419
kruskal,500,3,1.7256,714200,1787700888423
dfs,500,4,0.3504,357720,1787700888431
dijkstra,500,4,0.6390,175296,1787700888434
prim,500,4,0.9453,270712,1787700888437
kruskal,500,4,1.7340,657728,1787700888441
dfs,500,5,0.3216,165496,1787700888446
dijkstra,500,5,0.6853,167024,1787700888449
prim,500,5,1.2319,275496,1787700888453
kruskal,500,5,1.6700,667936,1787700888457
dfs,1000,1,1.0538,271952,1787700888467
dijkstra,1000,1,1.7620,308936,1787700888472
prim,1000,1,3.8453,543144,1787700888478
kruskal,1000,1,5.6131,1387376,1787700888486
dfs,1000,2,1.0335,437880,1787700888499
dijkstra,1000,2,1.6774,383976,1787700888502
prim,1000,2,2.2870,570944,1787700888506
kruskal,1000,2,5.6706,1333552,1787700888514
dfs,1000,3,1.1345,397904,1787700888523
dijkstra,1000,3,1.9280,428864,1787700888527
prim,1000,3,2.3025,596432,1787700888532
kruskal,1000,3,5.4032,1346296,1787700888539
dfs,1000,4,0.9636,324112,1787700888548
dijkstra,1000,4,1.3453,306944,1787700888551
prim,1000,4,2.2381,606896,1787700888555
kruskal,1000,4,5.4964,1025760,1787700888562
dfs,1000,5,0.9854,279872,1787700888570
dijkstra,1000,5,1.4333,302792,1787700888573
prim,1000,5,2.4746,598616,1787700888578
kruskal,1000,5,5.3250,1011920,1787700888585
dfs,2000,1,3.1869,695080,1787700888622
dijkstra,2000,1,3.9195,741816,1787700888628
prim,2000,1,5.8730,1048576,1787700888636
kruskal,2000,1,23.0735,2097152,1787700888660
dfs,2000,2,3.4058,572120,1787700888692
dijkstra,2000,2,3.7679,659560,1787700888697
prim,2000,2,5.4823,1048576,1787700888705
kruskal,2000,2,22.8049,2025920,1787700888730
