algorithm_name,input_size,trial,time_ms,memory_bytes,timestamp
hashPut,100,1,0.1326,524288,1787739451802
hashGet,100,1,0.0303,0,1787739451816
hashPut,100,2,0.0930,24672,1787739451819
hashGet,100,2,0.0319,0,1787739451830
hashPut,100,3,0.0465,24672,1787739451832
hashGet,100,3,0.0113,0,1787739451835
hashPut,100,4,0.0292,24672,1787739451837
hashGet,100,4,0.0184,0,1787739451840
hashPut,100,5,0.0453,24672,1787739451842
hashGet,100,5,0.0218,0,1787739451845
hashPut,1000,1,0.1761,98680,1787739451848
hashGet,1000,1,0.1109,0,1787739451850
hashPut,1000,2,0.1773,98680,1787739451854
hashGet,1000,2,0.0691,0,1787739451857
hashPut,1000,3,0.1688,98688,1787739451860
hashGet,1000,3,0.0368,0,1787739451862
hashPut,1000,4,0.1498,98680,1787739451865
hashGet,1000,4,0.0333,0,1787739451867
hashPut,1000,5,0.1509,98680,1787739451870
hashGet,1000,5,0.0394,0,1787739451872
hashPut,5000,1,0.5280,443928,1787739451877
hashGet,5000,1,0.1889,0,1787739451881
hashPut,5000,2,0.4833,443928,1787739451884
hashGet,5000,2,0.1147,0,1787739451887
hashPut,5000,3,0.5122,443928,1787739451892
hashGet,5000,3,0.1319,0,1787739451895
hashPut,5000,4,0.4677,443928,1787739451899
hashGet,5000,4,0.1108,0,1787739451902
hashPut,5000,5,0.5468,443928,1787739451905
hashGet,5000,5,0.1383,0,1787739451909
hashPut,10000,1,0.9660,854840,1787739451914
hashGet,10000,1,0.2211,0,1787739451918
hashPut,10000,2,0.7677,879824,1787739451922
hashGet,10000,2,0.2336,0,1787739451927
hashPut,10000,3,0.6153,879824,1787739451931
hashGet,10000,3,0.2528,0,1787739451935
hashPut,10000,4,0.3907,879824,1787739451939
hashGet,10000,4,0.1195,0,1787739451943
hashPut,10000,5,0.3619,879824,1787739451947
hashGet,10000,5,0.1060,0,1787739451951
hashPut,50000,1,4.6111,4904808,1787739451966
hashGet,50000,1,0.3396,0,1787739451972
hashPut,50000,2,4.1725,4652464,1787739451980
hashGet,50000,2,0.3555,0,1787739451991
hashPut,50000,3,2.3669,4713672,1787739452000
hashGet,50000,3,0.2841,0,1787739452011
hashPut,50000,4,3.2993,4705216,1787739452020
hashGet,50000,4,0.3730,0,1787739452030
hashPut,50000,5,4.9253,4680648,1787739452042
hashGet,50000,5,0.2398,0,1787739452048
hashPut,100000,1,6.8685,9998456,1787739452062
hashGet,100000,1,0.4103,0,1787739452072
hashPut,100000,2,6.8022,9968960,1787739452088
hashGet,100000,2,0.3011,0,1787739452098
hashPut,100000,3,7.3532,9740112,1787739452111
hashGet,100000,3,0.3924,0,1787739452121
hashPut,100000,4,4.4441,9769512,1787739452133
hashGet,100000,4,0.3231,0,1787739452145
hashPut,100000,5,7.1770,10346096,1787739452157
hashGet,100000,5,0.2843,0,1787739452167
