algorithm_name,input_size,trial,time_ms,memory_bytes,timestamp
heapInsert,100,1,0.1095,524288,1787739484356
heapDispatch,100,1,0.1830,0,1787739484360
heapInsert,100,2,0.0272,25384,1787739484362
heapDispatch,100,2,0.0944,25312,1787739484364
heapInsert,100,3,0.0290,25384,1787739484366
heapDispatch,100,3,0.0825,0,1787739484369
heapInsert,100,4,0.0369,25384,1787739484371
heapDispatch,100,4,0.0339,0,1787739484373
heapInsert,100,5,0.0386,25384,1787739484376
heapDispatch,100,5,0.0200,0,1787739484378
heapInsert,1000,1,0.1090,25384,1787739484382
heapDispatch,1000,1,0.2998,0,1787739484385
heapInsert,1000,2,0.0765,25384,1787739484387
heapDispatch,1000,2,0.9025,0,1787739484391
heapInsert,1000,3,0.1470,25384,1787739484394
heapDispatch,1000,3,0.5022,0,1787739484396
heapInsert,1000,4,0.1387,25384,1787739484399
heapDispatch,1000,4,0.4892,0,1787739484401
heapInsert,1000,5,0.1125,25384,1787739484404
heapDispatch,1000,5,0.1353,0,1787739484407
heapInsert,5000,1,0.3267,45880,1787739484411
heapDispatch,5000,1,0.7153,0,1787739484414
heapInsert,5000,2,0.3039,45880,1787739484417
heapDispatch,5000,2,0.7412,0,1787739484420
heapInsert,5000,3,0.3390,45880,1787739484423
heapDispatch,5000,3,0.7273,0,1787739484426
heapInsert,5000,4,0.4139,45880,1787739484429
heapDispatch,5000,4,1.0663,0,1787739484432
heapInsert,5000,5,0.4115,45880,1787739484435
heapDispatch,5000,5,1.1356,0,1787739484439
heapInsert,10000,1,0.4573,86856,1787739484443
heapDispatch,10000,1,1.5193,0,1787739484447
heapInsert,10000,2,0.4106,86856,1787739484450
heapDispatch,10000,2,1.4531,0,1787739484454
heapInsert,10000,3,0.4531,86856,1787739484458
heapDispatch,10000,3,1.4413,0,1787739484462
heapInsert,10000,4,0.2775,86856,1787739484465
heapDispatch,10000,4,1.2194,0,1787739484469
heapInsert,10000,5,0.2681,86856,1787739484472
heapDispatch,10000,5,1.1910,0,1787739484476
heapInsert,50000,1,1.2488,660344,1787739484482
heapDispatch,50000,1,9.3854,0,1787739484495
heapInsert,50000,2,1.1354,663296,1787739484500
heapDispatch,50000,2,10.3259,0,1787739484515
heapInsert,50000,3,1.0218,664032,1787739484520
heapDispatch,50000,3,9.2895,0,1787739484533
heapInsert,50000,4,1.0850,664512,1787739484538
heapDispatch,50000,4,8.0748,0,1787739484550
heapInsert,50000,5,1.0482,664816,1787739484554
heapDispatch,50000,5,8.0753,0,1787739484566
heapInsert,100000,1,2.9600,1376272,1787739484577
heapDispatch,100000,1,18.2159,0,1787739484601
heapInsert,100000,2,2.4642,1376272,1787739484612
heapDispatch,100000,2,17.8868,0,1787739484634
heapInsert,100000,3,2.1620,1735584,1787739484642
heapDispatch,100000,3,18.0473,0,1787739484665
heapInsert,100000,4,2.2299,1712432,1787739484673
heapDispatch,100000,4,18.5653,0,1787739484697
heapInsert,100000,5,2.8441,1716224,1787739484706
heapDispatch,100000,5,19.3016,0,1787739484731
