algorithm_name,input_size,trial,time_ms,memory_bytes,resulting_height,timestamp
bst_random,100,1,0.4791,524288,14,1787739604075
bst_sorted,100,1,0.0990,25280,100,1787739604079
balanced_random,100,1,0.6220,25280,8,1787739604084
balanced_sorted,100,1,0.0497,25288,7,1787739604087
bst_random,100,2,0.0280,25280,14,1787739604089
bst_sorted,100,2,0.0441,25280,100,1787739604092
balanced_random,100,2,0.0814,25288,8,1787739604095
balanced_sorted,100,2,0.0316,25288,7,1787739604097
bst_random,100,3,0.0205,25280,14,1787739604099
bst_sorted,100,3,0.0268,25280,100,1787739604102
balanced_random,100,3,0.0336,25288,8,1787739604104
balanced_sorted,100,3,0.0289,25288,7,1787739604106
bst_random,100,4,0.0170,25280,14,1787739604108
bst_sorted,100,4,0.0338,25280,100,1787739604111
balanced_random,100,4,0.0284,25288,8,1787739604113
balanced_sorted,100,4,0.0464,25288,7,1787739604115
bst_random,100,5,0.0114,25280,14,1787739604118
bst_sorted,100,5,0.0204,25280,100,1787739604120
balanced_random,100,5,0.0394,25288,8,1787739604122
balanced_sorted,100,5,0.0226,25288,7,1787739604125
bst_random,500,1,0.0479,25280,19,1787739604130
bst_sorted,500,1,0.6165,25280,500,1787739604132
balanced_random,500,1,0.0994,25288,11,1787739604135
balanced_sorted,500,1,0.0401,25288,9,1787739604137
bst_random,500,2,0.0465,25280,19,1787739604139
bst_sorted,500,2,0.8763,25280,500,1787739604143
balanced_random,500,2,0.0953,25288,11,1787739604145
balanced_sorted,500,2,0.0475,25288,9,1787739604148
bst_random,500,3,0.0524,25280,19,1787739604150
bst_sorted,500,3,0.6227,25280,500,1787739604153
balanced_random,500,3,0.0629,25288,11,1787739604155
balanced_sorted,500,3,0.0405,25288,9,1787739604158
bst_random,500,4,0.0616,25280,19,1787739604161
bst_sorted,500,4,0.6144,25280,500,1787739604164
balanced_random,500,4,0.0774,25288,11,1787739604167
balanced_sorted,500,4,0.0450,25288,9,1787739604170
bst_random,500,5,0.1433,25280,19,1787739604173
bst_sorted,500,5,0.6382,25280,500,1787739604177
balanced_random,500,5,0.0604,25288,11,1787739604179
balanced_sorted,500,5,0.0363,25288,9,1787739604181
bst_random,1000,1,0.0955,25280,27,1787739604184
bst_sorted,1000,1,2.4521,25280,1000,1787739604188
balanced_random,1000,1,0.1216,50576,12,1787739604191
balanced_sorted,1000,1,0.2001,50576,10,1787739604194
bst_random,1000,2,0.1285,25280,27,1787739604197
bst_sorted,1000,2,2.6994,25280,1000,1787739604202
balanced_random,1000,2,0.1253,50576,12,1787739604205
balanced_sorted,1000,2,0.0790,50576,10,1787739604208
bst_random,1000,3,0.1033,25280,27,1787739604211
bst_sorted,1000,3,2.7010,25280,1000,1787739604216
balanced_random,1000,3,0.1223,50576,12,1787739604218
balanced_sorted,1000,3,0.0772,50576,10,1787739604221
bst_random,1000,4,0.1045,25280,27,1787739604223
bst_sorted,1000,4,2.4599,25280,1000,1787739604228
balanced_random,1000,4,0.1231,50576,12,1787739604231
balanced_sorted,1000,4,0.0731,50576,10,1787739604233
bst_random,1000,5,0.0934,25280,27,1787739604235
bst_sorted,1000,5,2.5601,25280,1000,1787739604240
balanced_random,1000,5,0.1193,50576,12,1787739604243
balanced_sorted,1000,5,0.0695,50576,10,1787739604245
bst_random,5000,1,0.5155,126400,26,1787739604249
bst_sorted,5000,1,78.2633,126400,5000,1787739604329
balanced_random,5000,1,0.6912,177016,15,1787739604333
balanced_sorted,5000,1,0.3810,177016,13,1787739604337
bst_random,5000,2,0.5593,134848,26,1787739604341
bst_sorted,5000,2,78.2142,126400,5000,1787739604422
balanced_random,5000,2,0.5839,177016,15,1787739604425
balanced_sorted,5000,2,0.2753,177016,13,1787739604429
bst_random,5000,3,0.4341,134848,26,1787739604432
bst_sorted,5000,3,77.9628,126400,5000,1787739604513
balanced_random,5000,3,0.5719,177016,15,1787739604516
balanced_sorted,5000,3,0.2771,177016,13,1787739604520
bst_random,5000,4,0.4720,134848,26,1787739604524
bst_sorted,5000,4,78.3812,126400,5000,1787739604605
balanced_random,5000,4,0.5750,177016,15,1787739604609
balanced_sorted,5000,4,0.3374,177016,13,1787739604612
bst_random,5000,5,0.4499,134848,26,1787739604616
bst_sorted,5000,5,79.6178,126400,5000,1787739604698
balanced_random,5000,5,0.5886,177016,15,1787739604702
